glottocode,name,isocodes,level,macroarea,latitude,longitude
akpo1243,Akpondu,,language,Africa,9.235232,8.545454
akua1239,Akuapem,,dialect,Africa,,
akuk1235,Akuku,ayk,language,Africa,7.40354,6.34264
akum1238,Akum,aku,language,Africa,6.85716,9.96261
akun1239,Akunnu,,dialect,Africa,,
akwa1248,Akwa,akw,language,Africa,-0.39897,15.4623
akwa1249,Akwanga,,dialect,Africa,,
akwa1247,Akwa (Nigeria),,dialect,Africa,,
akee1238,Akye,aik,language,Africa,8.59543,8.75768
akye1239,Akyem Bosome,,dialect,Africa,,
alab1254,Alaba-K'abeena,alw,language,Africa,7.39014,38.1732
alad1239,Alada,,dialect,Africa,,
alag1242,Alago,ala,language,Africa,8.34986,8.52085
alag1248,Alagwa,wbj,language,Africa,-4.64148,35.7231
alan1248,Alangua,,dialect,Africa,,
alat1245,Alatening,,dialect,Africa,,
gaww1239,Ale-Gawwada,gwd,language,Africa,5.37869,37.2737
aleg1238,Alege,alf,language,Africa,6.59423,9.00394
alga1234,'Algaden,,dialect,Africa,,
alge1239,Algerian Arabic,arq,language,Africa,35.4208,3.23033
alge1240,Algerian Saharan Arabic,aao,language,Africa,20.8884,4.80626
alge1235,Algerian Sign Language,asp,language,Africa,36.4762,3.5462
algi1247,Algiers,,dialect,Africa,,
alii1240,Ali,aiy,language,Africa,4.60014,18.0352
alia1238,Aliap,,dialect,Africa,,
alif1238,Alifokpa,,dialect,Africa,,
aliw1234,Aliwal North,,dialect,Africa,,
alla1248,Alladian,ald,language,Africa,5.22371,-4.42647
almo1242,Almoo,,dialect,Africa,,
aloa1239,Aloa,,dialect,Africa,,
alor1246,Alor (Nilotic),,dialect,Africa,,
alum1247,Alumu,,dialect,Africa,,
alur1250,Alur,alz,language,Africa,2.36213,31.0016
alur1249,Aluru,,dialect,Africa,,
aluu1242,Aluu,,dialect,Africa,,
aman1263,Amana,,dialect,Africa,,
aman1262,Amanavil,,dialect,Africa,,
aman1261,Amanda-Afi,,dialect,Africa,,
amar1281,Amara (Beja),,dialect,Africa,,
amas1236,Ama (Sudan),nyi,language,Africa,12.0993,29.4332
amay1238,Amayo,,dialect,Africa,,
amba1263,Amba (Uganda),rwm,language,Africa,0.81206,30.0014
ambe1247,Ambele,ael,language,Africa,5.94043,9.62028
ambo1249,Ambo,amb,language,Africa,7.07637,10.7798
ambo1248,Ambo (Lala-Bisa),,dialect,Africa,,
mbam1247,Ambu Ajiri,,dialect,Africa,,
