glottocode,name,isocodes,level,macroarea,latitude,longitude
doya1240,Doyayo,dow,language,Africa,8.68604,13.0768
droo1238,Dro,,dialect,Africa,,
dual1243,Duala,dua,language,Africa,4.10208,9.61877
duro1238,Du-Foron,,dialect,Africa,,
dugb1238,Dugbo,,dialect,Africa,,
dugu1250,Dugujur,,dialect,Africa,,
dugu1248,Dugun,ndu,language,Africa,8.38689,13.3966
dugu1258,Dugur,,dialect,Africa,,
dugu1249,Duguri,dbm,language,Africa,10.05,10.21
dugu1257,Duguri (Chad),,dialect,Africa,,
dugw1239,Dugwor,dme,language,Africa,10.752,14.2134
duhw1236,Duhwa,kbz,language,Africa,9.32586,8.77995
dukl1234,Dukli,,dialect,Africa,,
dukp1238,Dukpu,,dialect,Africa,,
dukw1238,Dukwara,,dialect,Africa,,
dulb1238,Dulbu,dbo,language,Africa,10.1911,9.94759
duli1241,Duli-Gewe,duz,language,Africa,9.11241,13.4232
duma1253,Duma,dma,language,Africa,-0.91927,13.0046
duma1252,Duma (Karanga),,dialect,Africa,,
dume1236,Dume,,language,Africa,,
dume1239,Dume (Vame),,dialect,Africa,,
dung1254,Dungu,dbv,language,Africa,10.5043,8.19543
dunj1238,Dunje,,dialect,Africa,,
durr1240,Durr-Baraza,,dialect,Africa,,
duru1249,Duruma,dug,language,Africa,-4.09629,39.322
duun1242,Duungooma,dux,language,Africa,10.9234,-5.85872
duup1238,Duupa,dae,language,Africa,8.55031,13.4544
duur1238,Duurum,,dialect,Africa,,
duwa1244,Duwai,dbp,language,Africa,12.803,11.3367
idun1241,Dũya,ldb,language,Africa,9.12585,7.77525
dwan1238,Dwang,nnu,language,Africa,7.70712,-0.43011
dwem1238,Dwemu,,dialect,Africa,,
dwer1238,Dwera,,dialect,Africa,,
dyan1251,Dyan,dya,language,Africa,10.8342,-3.59179
dyar1234,Dyarim,dyr,language,Africa,10.03,9.065
dyol1239,Dyolof,,dialect,Africa,,
dyul1238,Dyula,dyu,language,Africa,9.291,-4.5823
dzaa1238,Dza,jen,language,Africa,9.26671,11.3884
dzam1242,Dzamba,,dialect,Africa,,
dzan1238,Dzando,dzn,language,Africa,2.24195,19.0022
dzin1234,Dzing Kamtsha,,dialect,Africa,,
dzin1235,Dzing Munkene,,dialect,Africa,,
dzod1238,Dzodinka,add,language,Africa,6.89005,10.7633
dzub1245,Dzuba,,dialect,Africa,,
dzuu1241,Dzùùngoo,dnn,language,Africa,11.3796,-4.92036
dzwa1238,Dzwabo,,dialect,Africa,,
earl1245,Early East African Pidgin Arabic,,language,Africa,,
east2407,East Bafwangada,,dialect,Africa,,
east2889,East Bena,,dialect,Africa,,
east2693,East Cape Afrikaans,,dialect,Africa,,
east2637,East Dangaleat,,dialect,Africa,,
east2430,Eastern Acheron,,dialect,Africa,,
east2403,Eastern Acipa,acp,language,Africa,10.7104,6.0105
east2849,Eastern Biḥēra-Kafr išŠēx-Parts of Ġarbiyya,,dialect,Africa,,
east2639,Eastern Birgit,,dialect,Africa,,
east2399,Eastern Bokyi,,dialect,Africa,,
east2794,Eastern Dan,,dialect,Africa,,
east2394,Eastern Ditammari,,dialect,Africa,,
east2402,Eastern Duka,uth,dialect,Africa,,
east2848,Eastern Egyptian Arabic,,dialect,Africa,,
east2411,Eastern Ejagham,,dialect,Africa,,
east2650,Eastern Hausa,,dialect,Africa,,
east2421,Eastern Jikany,,dialect,Africa,,
less1241,Eastern Kabyle,,dialect,Africa,,
east2408,Eastern Kalebwe,,dialect,Africa,,
east2398,Eastern Karaboro,xrb,language,Africa,10.4987,-4.52253
east2417,Eastern Keliko,,dialect,Africa,,
east2782,Eastern Kikongo,,language,Africa,-5.25,15.5
east2406,Eastern Kituba,,dialect,Africa,,
east2413,Eastern Klaoh,,dialect,Africa,,
east2392,Eastern Koromfe,,dialect,Africa,,
east2861,Eastern Kpan,,dialect,Africa,,
east2691,Eastern Libyan Arabic,,dialect,Africa,,
east2389,Eastern Macina,,dialect,Africa,,
east2395,Eastern Mampruli,,dialect,Africa,,
east2426,Eastern Maninkakan,emk,language,Africa,10.41,-9.3162
east2803,Eastern Middle Atlas Berber,,dialect,Africa,,
east2795,Eastern Nara,,dialect,Africa,,
east2422,Eastern Nuer,,dialect,Africa,,
east2652,Eastern Oromo,hae,language,Africa,8.67428,41.4395
east2804,Eastern Rif,,dialect,Africa,,
east2410,Eastern Ruli,,dialect,Africa,,
east2908,Eastern Tachawit,,dialect,Africa,,
east2419,Eastern Toposa,,dialect,Africa,,
east2390,Eastern Xwla Gbe,gbx,language,Africa,6.37803,2.54987
east2396,East Kasem,,dialect,Africa,,
east2387,East Limba,lma,language,Africa,9.71107,-11.7496
east2648,East Mafa,,dialect,Africa,,
east2409,East Nyala,nle,language,Africa,0.38163,34.6626
east2384,East Olodiama,,dialect,Africa,,
east2420,East Pokot,,dialect,Africa,,
east2869,East-Southern Koongo,,dialect,Africa,,
huaa1248,East Taa,nmn,language,Africa,-24.20022,20.79583
east2385,East Tarakiri,,dialect,Africa,,
heib1243,Ebang,hbn,language,Africa,11.2908,30.5282
ebir1243,Ebira,igb,language,Africa,8.15516,7.06183
ebod1238,Ebode,,dialect,Africa,,
ebri1238,Ebrié,ebr,language,Africa,5.36868,-4.03188
ebuu1238,Ebu,,dialect,Africa,,
ebug1241,Ebughu,ebg,language,Africa,4.82544,8.01304
ebuk1238,Ebuku,,dialect,Africa,,
ebun1242,Ebunn-Oke,,dialect,Africa,,
ebun1241,Ebunn-Ugbo,,dialect,Africa,,
eche1239,Eche,,dialect,Africa,,
edam1234,Edamme,,dialect,Africa,,
edan1238,Edangabo,,dialect,Africa,,
edec1238,Ede Cabe,cbj,language,Africa,7.78176,2.48128
edei1246,Ede Ica,ica,language,Africa,8.46128,1.82137
edei1244,Ede Idaca,idd,language,Africa,7.78428,2.27039
edei1245,Ede Ije,ijj,language,Africa,7.09729,2.64262
eden1244,Ede Nago,nqg,language,Africa,6.75763,2.64908
edir1242,Ediro,,dialect,Africa,,
efai1241,Efai,efa,language,Africa,4.60447,8.27625
efee1239,Efe,efe,language,Africa,1.8798,29.2918
efif1238,Efifa,,dialect,Africa,,
efik1245,Efik,efi,language,Africa,4.89379,8.38121
efut1242,Efutop,ofu,language,Africa,5.92431,8.35425
efut1241,Efutu,,dialect,Africa,5.34699,-0.62723
egaa1242,Ega,ega,language,Africa,5.56081,-5.41732
egba1238,Egba,,dialect,Africa,,
egbe1245,Egbedna,,dialect,Africa,,
egbe1246,Egbema,,dialect,Africa,,
egbe1244,Egbema (Ijoid),,dialect,Africa,,
egbu1235,Egbuta,,language,Africa,1.894874,22.680426
enge1239,Egene,enn,language,Africa,5.11931,6.37339
eggo1239,Eggon,ego,language,Africa,8.71442,8.45686
egni1238,Egnih,,dialect,Africa,,
egyp1246,Egyptian (Ancient),egy,language,Africa,28.381735,30.834959
egyp1253,Egyptian Arabic,arz,language,Africa,31.0,31.0
egyp1238,Egypt Sign Language,esl,language,Africa,29.567,29.654
ehom1238,Ehom,,dialect,Africa,,
ehue1238,Ehueun,ehu,language,Africa,7.450998,5.858846
eili1234,Eilim,,dialect,Africa,,
eini1234,Eini,,dialect,Africa,,
ejag1239,Ejagham,etu,language,Africa,5.54442,8.90959
ejam1238,Ejamat,eja,language,Africa,12.3355,-16.515
ejar1238,Ejar,,dialect,Africa,,
ejee1238,E Je,,dialect,Africa,,
doka1242,Ejuele,dbi,language,Africa,10.2287,7.96099
ekaj1238,Ekajuk,eka,language,Africa,6.45731,8.55058
ekam1238,Ekama,,dialect,Africa,,
ekii1242,Eke (Cameroon),,dialect,Africa,,
ekii1241,Eki,eki,language,Africa,5.1503,8.13613
ekis1238,Ekisongoora,,dialect,Africa,,
ekit1246,Ekit,eke,language,Africa,4.7645,7.89222
ekit1244,Ekiti,,dialect,Africa,,
ekiz1238,Ekiziba,,dialect,Africa,,
ekoo1238,Eko,,dialect,Africa,,
ekom1238,Ekombe,,dialect,Africa,,
ekon1238,Ekonda Mongo,,dialect,Africa,,
ekot1239,Ekoti,,dialect,Africa,,
ekpa1238,Ekparabong,,dialect,Africa,,
ekpe1252,Ekpe,,dialect,Africa,,
ekpe1251,Ekperi,,dialect,Africa,,
ekpe1250,Ekpetiama,,dialect,Africa,,
ekpe1253,Ekpeye,ekp,language,Africa,5.06715,6.53362
ekpo1238,Ekpon,,dialect,Africa,,
ekwe1238,Ekwe,,dialect,Africa,,
elel1238,Elele,,dialect,Africa,,
elem1254,Elembe,,dialect,Africa,,
elem1253,Eleme,elm,language,Africa,4.72964,7.267
elhu1238,El Hugeirat,elh,language,Africa,11.948,28.5901
elin1239,Eling,,dialect,Africa,,
fluv1238,Elinkine-Kasa (Fluvial),,dialect,Africa,,
elip1238,Elip,ekm,language,Africa,4.45694,11.193
elmo1238,El Molo,elo,language,Africa,2.79312,36.7619
elow1238,Elowa,,dialect,Africa,,
eltu1238,Elt Ulid,,dialect,Africa,,
eluu1240,Elu (Atlantic-Congo),,dialect,Africa,,
elun1241,Elun,,dialect,Africa,,
elun1242,Elung,,dialect,Africa,,
emai1242,Emai,,dialect,Africa,,
emai1241,Emai-Iuleha-Ora,ema,language,Africa,7.09089,5.84494
eman1238,Eman,emn,language,Africa,6.22923,9.70562
embu1241,Embu,ebu,language,Africa,-0.62822,37.5933
emed1238,Emede,,dialect,Africa,,
emgh1234,Emghedesie,,dialect,Africa,,
emha1238,Emhalhe,,dialect,Africa,,
emow1238,Emowhua,,dialect,Africa,,
empa1240,Empamela,,dialect,Africa,,
empe1239,Empesa Poko,,dialect,Africa,,
emug1238,Emughan,,dialect,Africa,,
emva1238,Emvane So,,dialect,Africa,,
emwa1238,Emwaja,,dialect,Africa,,
enah1238,Enaharra,,dialect,Africa,,
enat1238,Enatthembo,,dialect,Africa,,
eneg1238,Endegegny,,dialect,Africa,,
endo1242,Endo,,dialect,Africa,,
enee1238,Eneeme,,dialect,Africa,,
enen1239,Enenga,,dialect,Africa,,
ener1234,Ener,,dialect,Africa,,
engw1237,Engwi-Dzing mix of Ebama,,dialect,Africa,,
engw1234,Engwi Edzug,,dialect,Africa,,
engw1235,Engwi Engye,,dialect,Africa,,
engw1236,Engwi e Omaaya,,dialect,Africa,,
enhw1238,Enhwe,,dialect,Africa,,
enii1238,Eni,,dialect,Africa,,
enla1242,Enlai,,dialect,Africa,,
enoa1238,Enoah,,dialect,Africa,,
enwa1245,Enwan (Akwa Ibom State),enw,language,Africa,4.68739,8.20974
enwa1246,Enwan (Edo State),env,language,Africa,7.15316,6.07393
enya1249,Enya-Kindu,,language,Africa,-4.1,26.0
enya1247,Enya-Kisangani,gey,language,Africa,0.56,25.15
enya1245,Enyara,,dialect,Africa,,
enye1238,Enyembe,,dialect,Africa,,
enyo1238,Enyong,,dialect,Africa,,
epie1238,Epie,epi,language,Africa,5.00894,6.3146
epig1240,Epigi,,dialect,Africa,,
eref1238,Eref,,dialect,Africa,,
ereg1239,Eregba,,dialect,Africa,,
erei1238,Erei,,dialect,Africa,,
eren1239,Erenga,,dialect,Africa,,
erus1238,Erúsú,,dialect,Africa,,
eruw1238,Eruwa,erh,language,Africa,5.18026,6.04818
esan1238,Esan,ish,language,Africa,6.25685,6.33917
esee1246,Ese (Arigidi),,dialect,Africa,,
esel1238,Esel,,dialect,Africa,,
esim1238,Esimbi,ags,language,Africa,6.50094,9.86936
esna1234,Esna–Assuan and South of Luxor–Assuan,,dialect,Africa,,
essi1238,Essin,,dialect,Africa,,
esuk1238,Esuku,,dialect,Africa,,
esul1240,Esulalu,,dialect,Africa,,
esum1241,Esuma,esm,language,Africa,5.21504,-3.05409
esum1242,Esumbu,,dialect,Africa,,
eteb1238,Etebi,etb,language,Africa,4.79059,7.97357
eten1239,Eten,etx,language,Africa,9.73073,8.61443
ethi1238,Ethiopian Sign Language,eth,language,Africa,8.9761,38.8534
etky1238,Etkywan,ich,language,Africa,7.13773,10.3501
eton1254,Etongo,,dialect,Africa,,
eton1253,Eton-Mengisa,eto,language,Africa,4.21045,11.3935
eton1251,Etono I,,dialect,Africa,,
eton1252,Etono II,,dialect,Africa,,
etul1245,Etulo,utr,language,Africa,7.75865,9.44447
eund1238,Eunda Kolonkadhi,,dialect,Africa,,
eval1238,Evalue,,dialect,Africa,,
evan1238,Evant,bzz,language,Africa,6.34906,9.46432
evou1238,Evouzok,,dialect,Africa,,
ewan1234,Ewango,,dialect,Africa,,
ewee1241,Ewe,ewe,language,Africa,6.46061,0.814975
ewon1239,Ewondo,ewo,language,Africa,4.21141,11.93646
ewon1240,Ewondo Populaire,,language,Africa,,
extr1248,Extreme North Cameroon Sign Language,,language,Africa,10.597222,14.315833
ezaa1238,Ezaa,eza,dialect,Africa,,
ezha1238,Ezha,,dialect,Africa,,
faaa1239,Fa',,dialect,Africa,,
faal1238,Faale-Piyew,,dialect,Africa,,
fach1238,Fachi,,dialect,Africa,,
fada1249,Fada Ngurma,,dialect,Africa,,
fada1248,Fadashi,,dialect,Africa,10.84949,34.82031
fada1240,Fadawa,,dialect,Africa,,
fady1238,Fadyut-Palmerin,,dialect,Africa,,
fais1241,Faishang,,dialect,Africa,,
fala1246,Falasha,,dialect,Africa,,
fali1285,Fali,fli,language,Africa,10.5419,13.4087
fali1289,Fali of Jilvu,,dialect,Africa,,
fali1286,Fali of Mubi,,dialect,Africa,,
fali1287,Fali of Mucella,,dialect,Africa,,
fali1288,Fali of Vimtim,,dialect,Africa,,
fali1264,Fali-Tinguelin,,dialect,Africa,,
famm1241,Fam,fam,language,Africa,7.54277,10.505
fama1238,Fama-Teis-Kua,,dialect,Africa,,
fana1235,Fanagalo,fng,language,Africa,-25.384842,27.1400833333
fang1247,Fang,,dialect,Africa,,
fang1248,Fang (Cameroon),fak,language,Africa,6.54384,10.319
fang1246,Fang (Equatorial Guinea),fan,language,Africa,1.723965,11.61454
fani1244,Fania,fni,language,Africa,10.291,18.75
fani1245,Faniagara,,dialect,Africa,,
fanf1238,Fan-Ropp-Rim-Riyom-Heikpang,,dialect,Africa,,
fant1241,Fante,fat,dialect,Africa,,
fant1242,Fantera,,dialect,Africa,,
fara1237,Faranga,,dialect,Africa,,
fare1242,Fare,,dialect,Africa,,
fare1241,Farefare,gur,language,Africa,11.0918,-0.81109
farw1241,Far Western Kabyle,,dialect,Africa,,
farw1237,Far Western Minufiyya,,dialect,Africa,,
farw1240,Far West Senari,,dialect,Africa,,
fasa1234,Fasalo,,dialect,Africa,,
fayy1237,Fayyumic,,dialect,Africa,,
fede1238,Federe,,dialect,Africa,,
fefe1239,Fe'fe',fmp,language,Africa,5.18158,10.1442
ferr1242,Fer,,dialect,Africa,,
fere1246,Fere,,dialect,Africa,,
fero1244,Feroge,fer,language,Africa,8.61612,25.7171
fezm1238,Fez. Meknes,,dialect,Africa,,
fgan1238,Fganja,,dialect,Africa,,
fian1238,Fianse,,dialect,Africa,,
fika1238,Fika,,dialect,Africa,,
fika1239,Fika Bole,,dialect,Africa,,
fiky1238,Fikyu,,dialect,Africa,,
fili1243,Fililwa,,dialect,Africa,,
fina1241,Finanga,,dialect,Africa,,
fioo1234,Fio,,language,Africa,6.31256,10.2936
fipa1238,Fipa,fip,language,Africa,-7.88963,31.3442
fira1238,Firan,fir,language,Africa,9.65245,8.69095
firi1238,Firia,,dialect,Africa,,
fiya1238,Fiyadikka,,dialect,Africa,,
fjaa1238,Fjaalib,,dialect,Africa,,
fleo1238,Fleo,,dialect,Africa,,
foda1238,Fodonon,,dialect,Africa,,
foko1234,Fokoue,,dialect,Africa,,
fole1238,Folepi,,dialect,Africa,,
foma1238,Foma,fom,language,Africa,0.88032,24.3202
fomb1234,Fombap,,dialect,Africa,,
fonn1241,Fon,fon,language,Africa,7.15484,1.66495
fond1238,Fondebougou,,dialect,Africa,,
fond1239,Fondonera,,dialect,Africa,,
fong1242,Fong,,dialect,Africa,,
fong1246,Fongo-Ndeng,,dialect,Africa,,
fong1245,Fongo-Tongo,,dialect,Africa,,
font1234,Fontsa-Touala,,dialect,Africa,,
fony1238,Fonyi,,dialect,Africa,,
food1238,Foodo,fod,language,Africa,9.56489,1.40486
fool1238,Foolo,,dialect,Africa,,
fopo1238,Fopo-Bua,,dialect,Africa,,
fora1244,Fora,,dialect,Africa,,
fore1267,Foreke-Dschang,,dialect,Africa,,
fore1268,Forest Maninka,myq,language,Africa,9.49685,-7.53151
foss1234,Fossong-Wentcheng,,dialect,Africa,,
fote1235,Fotemena,,dialect,Africa,,
fote1234,Fotetsa,,dialect,Africa,,
foto1234,Foto,,dialect,Africa,,
four1238,Fourgoula,,dialect,Africa,,
fraf1238,Frafra,,dialect,Africa,,
fran1267,Francais Tirailleur,,language,Africa,,
fufu1238,Fufula,,dialect,Africa,,
fuga1235,Fuga of Jimma,,dialect,Africa,,
fula1268,Fulacunda,,dialect,Africa,,
fula1270,Fulanke,,dialect,Africa,,
fula1267,Fula Peta,,dialect,Africa,,
fuli1240,Fuliiru,flr,language,Africa,-3.04022,28.9865
fumm1238,Fum,fum,language,Africa,6.66524,11.1087
fund1238,Fundi,,dialect,Africa,,
fung1247,Fungom,,dialect,Africa,,
fung1245,Fungwa,ula,language,Africa,10.5021,6.59138
fung1246,Fungwe,,dialect,Africa,,
furr1244,Fur,fvr,language,Africa,12.0455,23.6401
furs1241,Fursum,,dialect,Africa,,
furu1242,Furu,fuu,language,Africa,4.485,20.6448
furu1238,Furupagha,,dialect,Africa,,
fuum1238,Fuumu,,dialect,Africa,,
fwee1238,Fwe,fwe,language,Africa,-17.72372,24.43151
fyam1238,Fyam,pym,language,Africa,9.59006,9.22293
fyer1241,Fyer,fie,language,Africa,9.49936,9.29503
gaaa1244,Ga,gaa,language,Africa,5.65488,-0.18598
gaaa1245,Gaa,ttb,language,Africa,8.4809,11.9603
gaak1238,G||aakhwe,,dialect,Africa,,
gaam1241,Gaam,tbi,language,Africa,11.4674,33.9797
gaan1243,Ga'anda,gqa,language,Africa,10.2955,12.6479
gaan1244,Gaan Dan,,dialect,Africa,,
gabi1247,Gabin,,dialect,Africa,,
gabl1238,Gablai,,dialect,Africa,,
gabo1234,Gabogbo,gie,language,Africa,5.964761,-5.841819
gabr1255,Gabra,,dialect,Africa,,
gabr1253,Gabri,gab,language,Africa,9.33955,16.623
gabr1254,Gabri-North,,dialect,Africa,,
gabu1246,Gabu,,dialect,Africa,,
gabu1247,Gabula,,dialect,Africa,,
gada1263,Gadam-Bara,,dialect,Africa,,
gada1262,Gadang,gdk,language,Africa,10.425,16.997
gade1242,Gade,ged,language,Africa,8.71139,7.49869
gadj1244,Gadjira,,dialect,Africa,,
gady1242,Gadyaga,,dialect,Africa,,
gafa1240,Gafat,gft,language,Africa,10.11067,38.18108
gagn1235,Gagnoa Bété,btg,language,Africa,6.10051,-5.9701
gaik1241,Gaika,,dialect,Africa,,
gail1235,Gail,gic,language,Africa,-28.77,26.895
gala1263,Gala,,dialect,Africa,,
gala1253,Galaba,,dialect,Africa,,
gala1264,Galambu,glo,language,Africa,10.1258,10.2542
gala1254,Galamjina,,dialect,Africa,,
gala1266,Galamkya,,dialect,Africa,,
gali1268,Galila (Lake Wonchi),,dialect,Africa,,
galw1238,Galwa,,dialect,Africa,,
gama1259,Gama Dan,,dialect,Africa,,
gama1258,Gamargu,,dialect,Africa,,
gamb1253,Gambai,,dialect,Africa,,
gamb1262,Gambar Bijim,,dialect,Africa,,
gamb1260,Gambar Zaar,,dialect,Africa,,
gamb1261,Gambian Krio,,dialect,Africa,,
gamb1259,Gambian Sign Language,,language,Africa,13.453444,-16.580639
gamb1252,Gambian Wolof,wof,language,Africa,13.5337,-16.1544
gamb1258,Gamboura,,dialect,Africa,,
gamd1238,Gamdugun,,dialect,Africa,,
gami1244,Gamila,,dialect,Africa,,
gami1251,Gamiya,,dialect,Africa,,
gamo1243,Gamo,gmv,language,Africa,6.27645,37.23808
gamo1244,Gamo-Gofa-Dawro,gmo,language,Africa,6.57645,37.1381
gamo1242,Gamo (Nigeria),,dialect,Africa,,
gamo1241,Gamo-Ningi,bte,language,Africa,10.9346,9.24843
gams1239,Gamsawa,,dialect,Africa,,
gana1274,//Gana,gnk,language,Africa,-21.8555,22.2003
gana1276,Ganádi,,dialect,Africa,,
gana1273,Ganadugu,,dialect,Africa,,
gana1275,G||anakhwe,,dialect,Africa,,
gana1270,Ganang,gne,language,Africa,9.93195,9.09741
gana1271,Gana (Nigeria),,dialect,Africa,,
gana1272,Gananwa,,dialect,Africa,,
gand1255,Ganda,lug,language,Africa,0.66884,32.15153
gand1256,Ganda-Kiaka,,dialect,Africa,,
gand1257,Gandua,,dialect,Africa,,
gane1238,!Gã!ne,,language,Africa,-31.32,28.75
ganj1241,Ganjule,,dialect,Africa,,
gant1243,Ganta,,dialect,Africa,,
ganz1246,Ganza,gza,language,Africa,10.2991,35.1373
ganz1247,Ganzi,gnz,language,Africa,6.544,19.347
garr1238,Gar,,dialect,Africa,,
gara1263,Garap,,dialect,Africa,,
gara1267,Garawgino,,dialect,Africa,,
garb1238,Garbabi,,dialect,Africa,,
gard1242,Gar Duguri,,dialect,Africa,,
garo1248,Garoua,,dialect,Africa,,
garo1255,Garoua (Bata),,dialect,Africa,,
garr1259,Garre,gex,language,Africa,2.29633,44.6862
gars1234,Gar Shilluk,,dialect,Africa,,
garw1238,Garwe,,dialect,Africa,,
gasi1239,Gasi,,dialect,Africa,,
gass1238,Gassan,,dialect,Africa,,
gatu1238,Gatue,,dialect,Africa,,
gava1240,Gava,,dialect,Africa,,
gava1241,Gavar,gou,language,Africa,10.5603,13.8188
gawi1244,Gawi,,dialect,Africa,,
gaya1252,Gaya,,dialect,Africa,,
gaya1250,Gaya (East Chadic),,dialect,Africa,,
gaya1240,Gayam,,dialect,Africa,,
gaya1251,Gayar,,dialect,Africa,,
gaye1238,Gayegi,,dialect,Africa,,
gayi1237,Gayil,gyl,language,Africa,6.15034,36.67211
gaym1238,Gaymona,,dialect,Africa,,
gbab1238,Gbabana,,dialect,Africa,,
gbad1242,Gbadi,,dialect,Africa,,
gbad1235,Gbado,,dialect,Africa,,
gbae1238,Gbaeson,,dialect,Africa,,
gbag1254,Gbaga-Nord,,dialect,Africa,,
gbag1255,Gbaga-South,,dialect,Africa,,
gbag1253,Gbagiri,,dialect,Africa,,
gbag1258,Gbagyi,gbr,language,Africa,9.29842,6.90495
gbag1257,Gbagyi Nkwa,,dialect,Africa,,
gbai1234,Gbaidim,,dialect,Africa,,
gbam1238,Gbambiya,,dialect,Africa,,
gagu1242,Gban,ggu,language,Africa,6.40859,-5.51851
bang1340,Gbangrim,,dialect,Africa,,
gban1262,Gbanmi-Sokun Kakanda,,dialect,Africa,,
gban1261,Gbantu,,dialect,Africa,,
gban1260,Gbanu,gbv,language,Africa,5.28183,17.3887
gban1258,Gbanziri-Boraka,gbg,language,Africa,4.68467,20.2609
gbap1234,Gbapen,,dialect,Africa,,
gbar1235,Gbarain,,dialect,Africa,,
gbar1247,Gbarbo,,dialect,Africa,,
gbar1246,Gbari,gby,language,Africa,8.46411,7.10757
gbas1238,Gba Sor,,dialect,Africa,,
gbat1238,Gbati-ri,gti,language,Africa,2.98585,28.7911
gbay1287,Gbaya-Bossangoa,gbp,language,Africa,6.61896,17.645
gbay1286,Gbaya-Bozoum,gbq,language,Africa,5.9879,16.4643
gbay1283,Gbaya Kara,,dialect,Africa,,
gbay1281,Gbaya-Mbodomo,gmm,language,Africa,4.800365,14.606865
gbay1285,Gbaya of Boda,,dialect,Africa,,
gbay1278,Gbayi,gyg,language,Africa,5.57378,21.9707
gbed1241,Gbedde,,dialect,Africa,,
gbek1244,Gbekon,,dialect,Africa,,
gben1241,Gbende,,dialect,Africa,,
gben1242,Gbendembu,,dialect,Africa,,
gbep1238,Gbepo,,dialect,Africa,,
gbes1239,Gbesi,,dialect,Africa,,
gbes1238,Gbesi Gbe,gbs,language,Africa,6.55911,2.0269
gbet1241,Gbete,,dialect,Africa,,
gbey1245,Gbeyãse,,dialect,Africa,,
gbii1241,Gbi,,dialect,Africa,,
gbii1242,Gbii,ggb,language,Africa,5.87021,-8.9346
gbin1239,Gbin,xgb,language,Africa,8.020857,-2.811213
gbin1238,Gbin (Ewe),,dialect,Africa,,
gbir1242,Gbiri,,dialect,Africa,,
gbir1241,Gbiri-Niragu,grh,language,Africa,10.3923,8.43157
gble1234,Gblee Dan,,dialect,Africa,,
gboo1244,Gbo,,dialect,Africa,,
gbog1238,Gbogorose,,dialect,Africa,,
gbok1238,Gbokpa,,dialect,Africa,,
gbol1235,Gboloo Grebo,gec,language,Africa,4.75405,-7.66699
gbom1234,Gbomic,,dialect,Africa,,
gboo1246,Gboo,,dialect,Africa,,
gbor1241,Gbor,,dialect,Africa,,
gbor1242,Gborbo,,dialect,Africa,,
gbow1238,Gbowe-Hran,,dialect,Africa,,
gboo1245,Gbo (Western Krahn),,dialect,Africa,,
gbug1238,Gbugbla,,dialect,Africa,,
gbug1239,Gbugyar,,dialect,Africa,,
bund1255,Gbunde,,dialect,Africa,,
geal1238,Gcaleka,,dialect,Africa,,
gcir1234,Gciriku,,dialect,Africa,,
gede1241,Gedegede,,dialect,Africa,,
gede1246,Gedeo,drs,language,Africa,6.18469,38.2395
gede1242,Gederobo,,dialect,Africa,,
geez1241,Geez,gez,language,Africa,10.1342,40.6821
geji1247,Geji,,dialect,Africa,,
gela1262,Gelama,,dialect,Africa,,
fong1243,Gélé (Dar Fongoro),fgr,dialect,Africa,11.3179,22.5611
geme1244,Geme,geq,language,Africa,8.48359,20.6611
geme1245,Geme Kulagbolu,,dialect,Africa,,
geme1246,Geme Tulu,,dialect,Africa,,
gemm1234,Gemme of Gimuru-Dehnime,,dialect,Africa,,
gemz1238,Gemzek,,dialect,Africa,,
genn1243,Gen,gej,language,Africa,6.25971,1.67727
gend1251,Genda3,,dialect,Africa,,
geng1244,Gengele,,dialect,Africa,,
geng1243,Gengle,geg,language,Africa,8.8956,11.9527
kuga1239,Gengle-Kugama,kow,language,Africa,8.91972,12.12947
gera1246,Gera,gew,language,Africa,10.4331,10.12
gere1238,Gerep,,dialect,Africa,,
gerg1238,Gergere,,dialect,Africa,,
geru1240,Geruma,gea,language,Africa,10.4775,9.78484
nucl1354,Geunem,,dialect,Africa,,
geya1234,Gey,guv,language,Africa,9.37513,13.5809
ghad1239,Ghadames,gha,language,Africa,30.1168,10.0165
ghan1244,Ghanaian Pidgin English,gpe,language,Africa,5.793241,-0.283641
ghan1235,Ghanaian Sign Language,gse,language,Africa,5.55225,-0.30274
ghar1240,Ghardaia Sign Language,ajs,language,Africa,32.483333,3.666667
ghat1242,Ghat,,dialect,Africa,,
ghol1238,Ghol,,dialect,Africa,,
ghom1247,Ghomálá',bbj,language,Africa,5.39619,10.352
ghom1250,Ghomálá Central,,dialect,Africa,,
ghom1248,Ghomálá North,,dialect,Africa,,
ghom1249,Ghomálá South,,dialect,Africa,,
ghom1257,Ghomara,gho,language,Africa,34.7979,-4.6696
ghot1243,Ghotuo,aaa,language,Africa,7.11551,5.95663
ghud1238,Ghudavan,,dialect,Africa,,
giba1240,Gibanawa,gib,language,Africa,12.584,8.615
gich1238,Gichugu,,dialect,Africa,,
gida1248,Gidang'oodiga of Simhha,,dialect,Africa,,
gida1247,Gidar,gid,language,Africa,9.874715,14.07845
giiw1236,Giiwo,kks,language,Africa,10.35754,10.46037
giko1238,Gikolodjya,,dialect,Africa,,
giky1238,Gikyode,acd,language,Africa,8.39478,0.56975
gilb1242,Gilbagala,,dialect,Africa,,
gilb1243,Gil Bagale,,dialect,Africa,,
gile1238,Gilempla,,dialect,Africa,,
gili1246,Gili,,dialect,Africa,,
gili1241,Gilima,gix,language,Africa,4.5585,19.0091
guil1240,Giliya,,dialect,Africa,,
gimb1238,Gimba,,dialect,Africa,,
